trial_id,citation,drug_name,phase,indication,trial_duration,trial_duration_weeks,safety_population_definition,nct_number,sponsor,indication_group,drug_half_life
NCT01272219,N Engl J Med 2015;373:11-22. DOI: 10.1056/NEJMoa1411892,Liraglutide,Not specified,Weight management in overweight or obese adults without diabetes,56 weeks,56.0,All randomized participants who received at least one dose of a study drug and had at least one assessment after baseline,NCT01272219,Novo Nordisk,Obesity without diabetes,0.5
NCT03495102,Diabetes Care 2021;44:765–773 | https://doi.org/10.2337/dc20-1473,Dulaglutide,Phase 3,Type 2 Diabetes,52 weeks,52.0,All randomly assigned patients who received at least one dose of study drug.,NCT03495102,Eli Lilly and Company,Type 2 diabetes,4.85
NCT03548935,N Engl J Med 2021;384:989-1002. DOI: 10.1056/NEJMoa2032183,Semaglutide,Phase 3,Overweight or Obesity,68 weeks,68.0,All randomized participants exposed to at least one dose of semaglutide or placebo,NCT03548935,Novo Nordisk,Obesity,7.0
NCT00849017,Diabetologia (2016) 59:266-274 DOI 10.1007/s00125-015-3795-1,albiglutide,Phase 3,Type 2 Diabetes Mellitus,52 weeks,52.0,All randomized participants who received at least one dose of study treatment,NCT00849017,GlaxoSmithKline,Type 2 diabetes,7.0
NCT05567796,N Engl J Med 2025;393:635-47. DOI: 10.1056/NEJMoa2502081,Cagrilintide-Semaglutide,3a,Overweight or Obesity,68-week,68.0,all the participants who underwent randomization and received ≥1 dose of an active drug or placebo,NCT05567796,Novo Nordisk,Obesity,
NCT04707469,"Vanita R Aroda, Jens Aberle, Lars Bardtrum, Erik Christiansen, Filip K Knop, Sanaz Gabery, Sue D Pedersen, John B Buse. Efficacy and safety of once-daily oral semaglutide 25 mg and 50 mg compared with 14 mg in adults with type 2 diabetes (PIONEER PLUS): a multicentre, randomised, phase 3b trial. Lancet 2023; 402: 693–704.",oral semaglutide,3b,type 2 diabetes,68 weeks,68.0,all participants who received at least one dose of trial drug,NCT04707469,Novo Nordisk,Type 2 diabetes,
Exenatide (Exendin-4)_7,"Diabetes Care 28:1092-1100, 2005",Exenatide (Exendin-4),Phase III,Type 2 Diabetes,30 weeks,30.0,All randomized participants who received at least one dose of medication starting from the evening of day 1.,N/A,"Amylin Pharmaceuticals, Eli Lilly",Type 2 diabetes,0.1
NCT04944992,"Journal of Hepatology, October 2023, vol. 79, 888–897",Efinopegdutide,IIa,Non-alcoholic fatty liver disease (NAFLD),24 weeks,24.0,All randomized participants who received at least one dose of study intervention.,NCT04944992,"Merck Sharp & Dohme LLC, a subsidiary of Merck & Co., Inc.",NAFLD/NASH,
NCT00688701,"Fonseca VA, Alvarado-Ruiz R, Raccah D, Boka G, Miossec P, Gerich JE. Efficacy and Safety of the Once-Daily GLP-1 Receptor Agonist Lixisenatide in Monotherapy. Diabetes Care. 2012;35:1225-1231.",Lixisenatide,Phase III,Type 2 Diabetes,12-week,12.0,All randomized patients exposed to at least one dose of investigational drug.,NCT00688701,Sanofi-aventis,Type 2 diabetes,0.125
NCT00308139,"Buse JB, Drucker DJ, Taylor KL, et al. DURATION-1: Exenatide Once Weekly Produces Sustained Glycemic Control and Weight Loss Over 52 Weeks. Diabetes Care. 2010;33:1255-1261.",Exenatide,Not specified,Type 2 Diabetes,52 weeks,52.0,All randomized participants who received at least one dose of exenatide in the previously reported phase of this study.,NCT00308139,Amylin Pharmaceuticals and Eli Lilly & Company,Type 2 diabetes,0.1
NCT05669599,N Engl J Med 2025;393:843-57. DOI: 10.1056/NEJMoa2504214,Maridebart Cafraglutide,Phase 2,Obesity,52 weeks,52.0,All randomized participants who received at least one dose of maridebart cafraglutide or placebo.,NCT05669599,Amgen,Obesity,
NCT00381342,"Clinical Therapeutics/Volume 30, Number 8, 2008",Exenatide,Not specified,Type 2 Diabetes,24 weeks,24.0,All randomized patients who received ≥1 dose of study drug,NCT00381342,"Amylin Pharmaceuticals, Inc. and Eli Lilly and Company",Type 2 diabetes,0.1
NCT02465515,Lancet 2018; 392: 1519–29,Albiglutide,Phase 3,Type 2 Diabetes and Cardiovascular Disease,1.6 years,83.2,All randomized participants who received at least one dose of albiglutide or placebo,NCT02465515,GlaxoSmithKline,Type 2 diabetes with cardiovascular disease,7.0
NCT04184622,N Engl J Med 2022;387:205-16. DOI: 10.1056/NEJMoa2206038,Tirzepatide,Phase 3,Obesity,72 weeks,72.0,"Adults with a BMI of 30 or more, or 27 or more with at least one weight-related complication, excluding diabetes, who received at least one dose of tirzepatide or placebo.",NCT04184622,Eli Lilly,Obesity,5.0
Exenatide (Byetta)_15,Proc (Bayl Univ Med Cent) 2006;19:281-284,Exenatide (Byetta),Phase III,Type 2 Diabetes Mellitus,30 weeks,30.0,All patients who received one dose of medication,N/A,"Amylin Pharmaceuticals, Inc.",Type 2 diabetes,0.1
NCT00707031,"Rosenstock J, Raccah D, Koranyi L, Maffei L, Boka G, Miossec P, Gerich JE. Efficacy and Safety of Lixisenatide Once Daily Versus Exenatide Twice Daily in Type 2 Diabetes Inadequately Controlled on Metformin: A 24-week, randomized, open-label, active-controlled study (GetGoal-X). Diabetes Care. 2013;36:2945-2951.",Lixisenatide,Phase III,Type 2 Diabetes,24-week,24.0,All randomized participants exposed to at least one dose of the investigational product.,NCT00707031,Sanofi,Type 2 diabetes,0.125
NCT05035095,Lancet 2023; 402: 705–19,Oral semaglutide,Phase 3,Overweight or obesity,68 weeks,68.0,Participants who received at least one dose of trial drug,NCT05035095,Novo Nordisk,Obesity,
NCT04881760,N Engl J Med 2023;389:514-26. DOI: 10.1056/NEJMoa2301972,Retatrutide,Phase 2,Obesity,48 weeks,48.0,All randomized participants who took at least one dose of retatrutide or placebo.,NCT04881760,Eli Lilly,Obesity,6.0
